Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,age,KM_Driven,make,mileage,engine,power
Kochi,Petrol,Manual,First,5,4.04,2,52,hyundai,19.81,1086,68.05
Chennai,Diesel,Manual,First,5,2.6,9,120,ford,20,1399,68
Mumbai,Diesel,Manual,First,7,8.5,3,33,maruti,25.47,1248,88.5
Kolkata,Diesel,Manual,First,5,3.5,5,52,honda,25.8,1498,98.6
Jaipur,Petrol,Manual,First,5,3.55,4,43,hyundai,20.36,1197,78.9
Kolkata,Diesel,Manual,First,5,3.25,6,50,honda,25.8,1498,98.6
Delhi,Diesel,Manual,First,5,5.35,5,90,renault,19.87,1461,83.8
Chennai,Diesel,Manual,Second,7,6.5,2,29,mahindra,17.45,1493,100
Mumbai,Diesel,Manual,First,5,9,3,20,maruti,24.3,1248,88.5
Kochi,Petrol,Manual,First,5,6,3,61,hyundai,18.6,1197,81.83
Jaipur,Petrol,Manual,First,5,2.75,10,87,skoda,14.7,1390,85
Pune,Petrol,Manual,First,5,1.5,9,70,tata,15.64,1193,64.1
Delhi,Diesel,Manual,First,5,3,5,104,toyota,23.59,1364,67.06
Kolkata,Diesel,Manual,First,5,3.25,6,45,honda,27.4,1498,98.6
Mumbai,Diesel,Manual,First,5,5.95,5,30,renault,20.46,1461,83.8
Mumbai,Petrol,Automatic,First,5,4.22,3,8,maruti,20.51,998,67
Pune,Petrol,Manual,Second,5,2.9,7,44,hyundai,19.81,1086,68.05
Coimbatore,Petrol,Manual,First,5,8.22,1,25,hyundai,17.19,1197,81.86
Kolkata,Diesel,Manual,Second,5,3.5,5,64,honda,25.8,1498,98.6
Chennai,Petrol,Manual,Second,5,1.25,15,61,maruti,18.9,998,67.1
Hyderabad,Diesel,Manual,First,5,3.7,6,107,mahindra,21.03,1461,65
Kolkata,Petrol,Manual,First,5,2.65,6,32,maruti,22.5,998,67.04
Kochi,Petrol,Manual,Second,5,3.32,3,60,chevrolet,18.6,1199,76.8
Mumbai,Diesel,Manual,First,5,3.6,7,45,volkswagen,22.07,1199,73.9
Hyderabad,Diesel,Manual,First,5,6.8,3,64,maruti,22.9,1248,74
Kolkata,Diesel,Manual,First,5,2.5,7,41,ford,20,1399,68.05
Kochi,Petrol,Manual,First,5,6.27,1,14,hyundai,18.6,1197,81.83
Mumbai,Diesel,Manual,First,5,2.65,6,74,chevrolet,25.44,936,57.6
Kochi,Diesel,Manual,First,5,7.2,4,56,hyundai,22.54,1396,88.73
Chennai,Diesel,Manual,First,7,6.9,6,52,maruti,20.77,1248,88.76
Mumbai,Diesel,Manual,First,5,4.75,2,33,hyundai,24,1120,70
Chennai,Diesel,Manual,First,5,8.45,3,34,maruti,28.09,1248,88.5
Kochi,Diesel,Manual,First,5,1.8,13,160,hyundai,13.1,1493,82
Coimbatore,Petrol,Manual,First,5,7.17,2,49,honda,18.7,1199,88.7
Jaipur,Petrol,Manual,First,5,1.75,9,83,hyundai,19.81,1086,68.05
Jaipur,Petrol,Manual,Third,5,1.85,8,35,maruti,19.7,796,35
Coimbatore,Petrol,Manual,Second,5,5.95,2,27,maruti,20.4,1197,81.8
Mumbai,Petrol,Manual,First,5,3.75,5,16,hyundai,18.9,1197,82
Pune,Diesel,Manual,First,5,3.75,7,120,maruti,22.9,1248,74
Mumbai,Petrol,Manual,First,5,2.8,9,52,hyundai,17,1197,80
Hyderabad,Diesel,Manual,First,5,4.35,5,88,maruti,23.2,1248,73.94
Pune,Petrol,Manual,First,5,2,9,67,maruti,19,998,66.1
Delhi,Diesel,Manual,First,5,1.65,9,120,fiat,17.8,1248,76
Bangalore,Petrol,Manual,Second,5,3.25,9,36,hyundai,20.36,1197,78.9
Mumbai,Petrol,Manual,Third,5,0.55,17,60,maruti,17.3,993,60
Hyderabad,Diesel,Manual,First,5,7.15,1,31,maruti,28.4,1248,74
Pune,Diesel,Manual,First,5,3.75,2,121,tata,22.95,1248,74
Jaipur,Diesel,Manual,First,5,4.35,7,73,maruti,23.4,1248,74
Kochi,Petrol,Manual,First,5,3.26,3,32,maruti,22.74,796,47.3
Kolkata,Diesel,Manual,First,5,3.11,6,46,hyundai,21.9,1396,88.8
Coimbatore,Petrol,Automatic,First,5,5.96,5,45,hyundai,15,1396,98.6
Pune,Diesel,Manual,First,5,5.25,1,45,tata,22.95,1248,74
Delhi,Petrol,Manual,First,5,1.35,10,60,maruti,18.9,1061,67
Delhi,Petrol,Manual,First,5,4.85,4,62,honda,18.2,1199,88.7
Hyderabad,Petrol,Manual,First,5,3.1,9,74,hyundai,20.36,1197,78.9
Pune,Petrol,Manual,First,5,2.8,7,45,hyundai,20.36,1197,78.9
Mumbai,Petrol,Manual,First,5,3.89,4,31,volkswagen,16.47,1198,73.9
Hyderabad,Petrol,Manual,First,5,2.1,8,70,maruti,20.92,998,67.1
Coimbatore,Diesel,Manual,First,5,2.58,6,59,tata,17,1405,70
Hyderabad,Petrol,Automatic,First,5,4.25,5,77,maruti,23.1,998,67.04
Hyderabad,Petrol,Manual,First,5,2.05,7,71,maruti,14,796,35
Kochi,Petrol,Manual,First,5,3.13,7,91,honda,18.5,1198,86.8
Hyderabad,Diesel,Manual,Second,7,1.5,19,158,tata,14.07,2956,83.1
Pune,Diesel,Manual,First,5,2.85,7,91,tata,18,1248,75
Delhi,Petrol,Manual,First,5,2.65,7,65,maruti,18.9,998,67.1
Pune,Diesel,Manual,Second,5,1.25,11,138,tata,17.1,1396,70
Mumbai,Petrol,Manual,First,7,8.25,1,18,maruti,16.02,1373,93.7
Kolkata,Diesel,Manual,First,5,3.7,7,48,maruti,19.3,1248,73.9
Hyderabad,Diesel,Manual,First,5,2.8,10,160,ford,17.8,1399,68
Kolkata,Petrol,Manual,First,5,1.8,11,40,honda,17.7,1497,78
Pune,Diesel,Manual,First,5,5.5,7,83,hyundai,23,1396,90
Bangalore,Petrol,Automatic,Third,5,2.95,10,37,hyundai,16.95,1197,78.9
Kochi,Petrol,Automatic,First,5,6.86,3,28,honda,19,1199,88.7
Hyderabad,Diesel,Manual,First,5,6.15,4,76,maruti,25.2,1248,74
Pune,Petrol,Manual,Second,5,3.3,8,79,hyundai,18.5,1197,82.85
Kolkata,Petrol,Manual,First,5,2.55,8,32,volkswagen,16.47,1198,73.9
Ahmedabad,Petrol,Manual,First,5,1.5,10,35,maruti,19.7,796,46.3
Chennai,Petrol,Manual,Second,5,1.4,13,56,maruti,19.7,796,46.3
Pune,Diesel,Manual,First,5,3.4,7,73,tata,21.12,1248,88.8
Pune,Petrol,Manual,First,5,2.25,7,38,maruti,19.7,796,46.3
Coimbatore,Petrol,Manual,First,5,7.66,3,24,hyundai,18.6,1197,81.83
Chennai,Diesel,Manual,First,5,7.15,3,45,maruti,24.3,1248,88.5
Hyderabad,Diesel,Manual,Second,5,3.5,5,133,tata,18,1248,75
Kolkata,Diesel,Manual,First,5,3.45,6,57,honda,25.8,1498,98.6
Coimbatore,Petrol,Manual,First,5,3.55,3,27,hyundai,21.1,814,55.2
Ahmedabad,Diesel,Manual,First,5,2.9,6,47,tata,21.02,1248,88.8
Pune,Petrol,Manual,First,5,3.75,2,30,maruti,24.07,998,67.1
Mumbai,Diesel,Manual,First,5,6.75,5,68,ford,22.7,1498,89.84
Kolkata,Petrol,Manual,Second,5,0.95,8,21,chevrolet,18,995,62
Delhi,Diesel,Manual,First,5,3.5,6,70,maruti,22.9,1248,74
Mumbai,Petrol,Automatic,First,5,6.2,3,18,maruti,18.5,1197,83.14
Chennai,Diesel,Manual,First,5,2.75,8,83,nissan,23.08,1461,63.1
Mumbai,Diesel,Manual,First,5,3.25,4,130,maruti,23.4,1248,74
Pune,Diesel,Manual,First,5,3.25,7,63,ford,17.8,1399,67
Kolkata,Petrol,Manual,First,5,0.65,16,65,maruti,17.3,993,60
Kolkata,Diesel,Manual,First,5,3.25,5,45,toyota,23.59,1364,67.05
Kolkata,Petrol,Manual,First,5,2.9,1,26,maruti,24.7,796,47.3
Bangalore,Petrol,Manual,Third,5,2.9,8,11,maruti,18.9,796,47
Coimbatore,Petrol,Automatic,First,5,5.77,4,37,hyundai,18.9,1197,82
Hyderabad,Diesel,Manual,First,5,9.49,2,39,maruti,24.3,1248,88.5
Chennai,Petrol,Manual,Third,4,1,12,72,maruti,16.1,796,37
Chennai,Diesel,Manual,Second,5,7.1,4,93,renault,20.45,1461,83.8
Hyderabad,Diesel,Manual,Second,5,3.2,9,68,maruti,21.1,1248,73.9
Kochi,Diesel,Manual,First,5,4,4,74,hyundai,24.4,1120,71
Delhi,Petrol,Manual,First,5,4.65,4,52,honda,18,1198,86.7
Chennai,Petrol,Manual,First,5,3.25,5,37,hyundai,21.1,814,55.2
Kolkata,Petrol,Manual,First,5,3.1,5,17,maruti,20.51,998,67.04
Coimbatore,Diesel,Manual,First,5,3.91,8,90,maruti,21.1,1248,73.9
Jaipur,Petrol,Manual,First,5,0.92,9,125,maruti,19.7,796,46.3
Pune,Petrol,Manual,First,5,2.75,6,53,maruti,14,1061,64
Pune,Petrol,Manual,First,5,0.8,14,5,hyundai,13.2,1495,94
Jaipur,Petrol,Manual,First,5,6.9,2,40,hyundai,17.19,1197,81.86
Kolkata,Petrol,Manual,Second,5,2.25,4,20,hyundai,21.1,814,55.2
Kochi,Petrol,Manual,First,5,5.5,1,40,hyundai,18.9,1197,81.86
Mumbai,Petrol,Manual,First,5,4.35,6,52,honda,13,1493,100
Kolkata,Petrol,Manual,First,5,2.25,9,55,volkswagen,16.47,1198,73.9
Bangalore,Diesel,Manual,First,5,5.75,6,37,toyota,23.59,1364,67.04
Delhi,Petrol,Manual,Second,5,3.2,5,30,honda,19.4,1198,86.8
Coimbatore,Petrol,Automatic,First,5,9.89,1,12,maruti,21.4,1197,83.1
Kochi,Petrol,Manual,First,5,4.06,1,13,hyundai,21.1,814,55.2
Kochi,Petrol,Manual,First,5,3.74,3,34,maruti,22.74,796,47.3
Ahmedabad,Petrol,Manual,First,5,1.45,12,55,maruti,18.9,998,67.1
Kolkata,Petrol,Manual,First,5,2,11,40,honda,17.7,1497,78
Kolkata,Petrol,Manual,First,8,3.75,5,15,chevrolet,13.7,1399,98.79
Coimbatore,Diesel,Manual,First,7,7.7,3,82,mahindra,15.96,2523,62.1
Hyderabad,Petrol,Manual,First,5,2.6,5,20,hyundai,21.1,814,55.2
Hyderabad,Diesel,Manual,First,5,2.5,5,67,tata,22.3,1248,74
Coimbatore,Petrol,Manual,First,5,7.98,2,26,hyundai,18.6,1197,81.83
Chennai,Petrol,Manual,Second,5,2.25,8,67,maruti,18.5,1197,85.8
Hyderabad,Diesel,Manual,First,5,3.5,3,80,maruti,27.62,793,47
Delhi,Diesel,Manual,First,5,8.92,1,12,maruti,25.1,1248,88.5
Pune,Petrol,Manual,First,5,7.2,3,6,hyundai,18.6,1197,81.83
Pune,Diesel,Manual,First,5,5.25,3,51,hyundai,24.4,1120,71
Delhi,Diesel,Manual,First,5,6.5,5,31,ford,22.7,1498,89.84
Hyderabad,Petrol,Manual,First,5,4.4,6,76,volkswagen,16.47,1198,73.9
Kolkata,Diesel,Manual,First,5,4.6,2,14,hyundai,24,1120,70
Ahmedabad,Diesel,Manual,First,5,2.95,6,47,tata,21.12,1248,88.8
Bangalore,Petrol,Manual,Second,5,2.22,11,46,hyundai,17.92,1086,62.1
Hyderabad,Diesel,Manual,First,7,10.5,7,162,toyota,12.99,2494,100
Coimbatore,Diesel,Manual,First,5,8.26,2,25,maruti,28.09,1248,88.5
Delhi,Petrol,Manual,First,5,4.5,4,27,hyundai,18.9,1197,82
Hyderabad,Petrol,Manual,First,5,6.8,1,3,ford,18.16,1196,86.8
Mumbai,Diesel,Manual,Second,5,7,4,67,renault,19.87,1461,83.8
Chennai,Diesel,Manual,Second,5,2.25,8,75,ford,20,1399,68
Kolkata,Diesel,Manual,First,5,2.75,7,52,volkswagen,22.07,1199,73.9
Jaipur,Diesel,Manual,First,5,3,8,91,maruti,23.2,1248,73.94
Pune,Diesel,Manual,First,5,3.55,6,60,nissan,23.08,1461,63.1
Jaipur,Petrol,Manual,Second,5,2.32,9,59,hyundai,19.81,1086,68.05
Jaipur,Petrol,Manual,First,7,5.5,5,98,maruti,16.02,1373,93.7
Chennai,Diesel,Manual,Second,5,3.2,13,72,skoda,18.7,1896,66
Pune,Petrol,Manual,First,5,4,4,79,honda,18,1198,86.7
Chennai,Petrol,Manual,First,5,1.6,15,29,maruti,17.3,993,60
Mumbai,Petrol,Automatic,First,5,4.25,5,35,honda,16.5,1198,86.8
Ahmedabad,Petrol,Manual,First,5,2.6,8,75,maruti,18.9,998,67.1
Kochi,Petrol,Manual,First,5,2.55,7,32,chevrolet,18.6,1199,79.4
Mumbai,Diesel,Manual,First,5,6.25,5,79,ford,22.7,1498,89.84
Hyderabad,Diesel,Manual,Second,5,3.6,9,86,maruti,17.8,1248,75
Mumbai,Petrol,Manual,Second,5,4.8,2,8,hyundai,18.9,1197,82
Hyderabad,Petrol,Manual,First,5,2.3,10,80,hyundai,17.92,1086,62.1
Coimbatore,Petrol,Manual,First,5,4.95,6,27,toyota,17.6,1496,88.73
Ahmedabad,Petrol,Manual,First,5,3.3,7,30,maruti,22.5,998,67.04
Jaipur,Petrol,Manual,First,5,2.79,5,56,maruti,23.1,998,67.04
Pune,Petrol,Manual,First,5,2.55,5,8,chevrolet,18.6,1199,76.8
Ahmedabad,Petrol,Manual,Second,4,1,5,18,tata,25.4,624,37.5
Kochi,Petrol,Manual,First,5,6.37,0,20,maruti,22,1197,81.8
Kochi,Petrol,Manual,First,5,5.75,2,31,maruti,20.4,1197,81.8
Mumbai,Petrol,Manual,First,7,6.8,5,13,maruti,16.02,1373,93.7
Jaipur,Petrol,Manual,First,7,5.6,5,47,maruti,16.02,1373,93.7
Jaipur,Diesel,Manual,First,5,1,14,108,tata,17,1405,70
Hyderabad,Diesel,Manual,First,5,3.85,8,130,maruti,19.3,1248,73.9
Hyderabad,Diesel,Manual,First,5,3,7,107,ford,17.8,1399,67
Mumbai,Petrol,Manual,First,5,5.75,3,9,honda,18,1198,86.7
Delhi,Diesel,Manual,First,5,6.75,5,43,hyundai,22.54,1396,88.73
Bangalore,Diesel,Manual,Second,7,4.85,6,64,chevrolet,18.2,1248,73.8
Mumbai,Diesel,Manual,First,7,9.51,7,55,toyota,12.99,2494,100
Kochi,Petrol,Manual,First,5,3.29,10,69,honda,17.7,1497,78
Delhi,Diesel,Manual,First,5,9.5,3,41,maruti,28.09,1248,88.5
Pune,Petrol,Manual,Second,5,2.2,9,109,maruti,17.5,1298,85.8
Pune,Diesel,Manual,Second,7,6.75,6,105,maruti,25.47,1248,88.5
Chennai,Diesel,Manual,First,5,3.8,6,179,toyota,23.59,1364,67.04
Hyderabad,Diesel,Manual,First,5,6.2,4,50,volkswagen,20.14,1498,88.8
Chennai,Diesel,Manual,First,5,2.3,12,35,mahindra,19.2,1461,65
Jaipur,Diesel,Manual,First,5,5.65,4,63,honda,27.3,1498,98.6
Kochi,Diesel,Manual,First,5,5.6,4,62,honda,25.8,1498,98.6
Coimbatore,Diesel,Manual,First,5,7.39,3,38,maruti,26.59,1248,74
Chennai,Petrol,Manual,First,5,4.45,6,49,maruti,18.6,1197,85.8
Jaipur,Diesel,Manual,Second,7,6,7,105,mahindra,15.96,2523,62.1
Chennai,Diesel,Manual,First,5,5.25,5,35,maruti,22.9,1248,74
Chennai,Petrol,Manual,Third,5,1.5,15,129,ford,13.8,1299,70
Coimbatore,Diesel,Manual,First,5,8.12,1,33,volkswagen,20.14,1498,88
Coimbatore,Diesel,Manual,First,7,6.12,7,60,mahindra,13.6,2523,63
Coimbatore,Diesel,Manual,First,5,10.88,2,45,honda,25.1,1498,98.6
Kolkata,Petrol,Manual,First,5,3.5,5,9,chevrolet,18.2,1199,82.5
Kochi,Petrol,Manual,First,5,6.15,3,42,hyundai,18.6,1197,81.83
Kolkata,Diesel,Manual,First,7,5.95,6,53,maruti,20.77,1248,88.76
Bangalore,Petrol,Manual,First,5,5.75,4,59,hyundai,18.5,1197,80
Ahmedabad,Diesel,Manual,First,5,4.75,5,55,renault,20.45,1461,83.8
Hyderabad,Diesel,Manual,Second,7,3.3,6,80,mahindra,17.21,1493,100
Hyderabad,Diesel,Manual,First,5,4.39,8,81,maruti,19.3,1248,73.9
Kochi,Diesel,Manual,First,5,6.2,1,52,maruti,25.2,1248,74
Pune,Petrol,Manual,First,8,1.45,9,60,maruti,19.7,796,35
Hyderabad,Diesel,Manual,First,5,6.9,5,59,nissan,20.45,1461,83.8
Coimbatore,Petrol,Manual,First,5,2.44,9,64,chevrolet,14.7,1150,76
Kolkata,Diesel,Manual,First,7,1.95,19,124,mahindra,13.6,2523,63
Mumbai,Petrol,Manual,First,5,4.35,5,7,hyundai,19.1,1197,82
Hyderabad,Petrol,Manual,First,5,2.9,4,68,hyundai,21.1,814,55.2
Delhi,Diesel,Manual,First,5,2.9,6,64,volkswagen,22.07,1199,73.9
Pune,Diesel,Manual,First,5,8.9,3,21,maruti,24.3,1248,88.5
Coimbatore,Petrol,Manual,First,5,3.95,3,14,hyundai,21.1,814,55.2
Delhi,Diesel,Manual,First,5,4.65,5,67,hyundai,21.27,1396,88.76
Chennai,Diesel,Manual,First,8,2.9,13,82,mahindra,13.6,2523,63
Chennai,Petrol,Manual,First,5,1.45,12,30,maruti,15.9,1298,85
Delhi,Petrol,Manual,Second,5,3.5,6,48,hyundai,17,1197,80
Kochi,Diesel,Manual,First,7,10.79,2,32,honda,21.9,1498,98.6
Jaipur,Petrol,Manual,First,5,5.12,2,28,hyundai,19.1,1197,81.86
Mumbai,Petrol,Manual,First,5,5.7,2,7,maruti,20.89,1197,81.8
Hyderabad,Petrol,Manual,First,5,1.25,12,92,ford,13.8,1299,70
Kolkata,Petrol,Manual,First,5,2.65,6,25,hyundai,20.36,1197,78.9
Kolkata,Petrol,Manual,Second,5,1.5,9,35,chevrolet,18.6,1199,79.4
Jaipur,Diesel,Manual,First,5,9.75,2,36,maruti,28.09,1248,88.5
Chennai,Petrol,Automatic,Third,5,1.96,14,100,honda,16.4,1497,78
Bangalore,Petrol,Manual,First,5,2.75,8,64,maruti,24.07,998,67.1
Chennai,Diesel,Manual,First,5,2.8,10,47,hyundai,21.9,1396,90
Jaipur,Diesel,Manual,First,5,4.15,5,64,hyundai,24,1120,70
Pune,Diesel,Manual,Second,5,3.27,4,65,maruti,23.2,1248,73.94
Pune,Petrol,Manual,First,5,6.3,3,21,hyundai,18.6,1197,81.83
Coimbatore,Diesel,Manual,First,5,11.31,2,18,maruti,24.3,1248,88.5
Pune,Petrol,Manual,First,5,6,5,49,maruti,20.73,1373,91.1
Kochi,Petrol,Automatic,First,5,5.43,6,37,nissan,17.5,1498,99.6
Hyderabad,Diesel,Manual,First,5,4.65,7,62,volkswagen,22.07,1199,73.9
Hyderabad,Diesel,Manual,First,7,7.5,4,59,maruti,20.77,1248,88.8
Jaipur,Diesel,Manual,First,5,6.25,4,60,maruti,26.59,1248,74
Mumbai,Petrol,Manual,First,5,3.15,6,17,honda,19.4,1198,86.8
Hyderabad,Petrol,Manual,First,5,2.3,11,80,hyundai,16,1086,66.7
Kochi,Diesel,Manual,First,5,7.4,2,41,maruti,28.09,1248,88.5
Pune,Petrol,Manual,Second,5,1.55,13,98,ford,13.8,1299,70
Pune,Petrol,Manual,Second,5,6,2,54,volkswagen,16.2,1199,74
Chennai,Petrol,Manual,First,5,5.9,3,17,honda,18.7,1199,88.7
Bangalore,Diesel,Manual,Second,5,4.7,6,33,honda,25.8,1498,98.6
Hyderabad,Diesel,Manual,First,5,6.5,4,86,hyundai,22.54,1396,88.73
Hyderabad,Diesel,Manual,First,5,3.55,7,146,maruti,21.1,1248,73.9
Pune,Diesel,Manual,First,5,7.99,2,38,maruti,24.3,1248,88.5
Bangalore,Petrol,Manual,Second,5,4.1,10,64,hyundai,17,1197,80
Hyderabad,Petrol,Automatic,First,5,3.95,2,25,maruti,24.07,998,67.1
Kochi,Petrol,Manual,First,5,4.38,3,36,hyundai,21.1,814,55.2
Mumbai,Petrol,Manual,First,5,2.75,8,35,hyundai,20.36,1197,78.9
Bangalore,Diesel,Manual,First,5,6.6,6,62,ford,22.77,1498,98.59
Jaipur,Diesel,Manual,Third,5,1.28,9,100,ford,20,1399,68
Pune,Petrol,Manual,Third,5,1.2,13,78,chevrolet,14.49,1399,92.7
Coimbatore,Petrol,Manual,First,5,4.31,6,57,maruti,18.5,1197,85.8
Coimbatore,Petrol,Manual,First,5,5.64,2,74,hyundai,18.9,1197,82
Pune,Petrol,Manual,Second,5,2.85,11,64,maruti,17.5,1298,85.8
Delhi,Petrol,Manual,First,5,3.5,8,100,honda,13,1343,90
Jaipur,Diesel,Manual,First,5,7.5,5,75,renault,20.46,1461,83.8
Kochi,Petrol,Manual,First,5,4.7,4,41,hyundai,19.1,1197,82
Hyderabad,Petrol,Automatic,First,5,8.5,2,13,maruti,22,1197,81.8
Kochi,Petrol,Manual,First,5,3.51,2,54,maruti,22.74,796,47.3
Bangalore,Diesel,Manual,First,5,2.65,7,40,chevrolet,25.44,936,57.6
Kochi,Petrol,Manual,First,5,3.52,4,43,maruti,20.51,998,67.04
Mumbai,Petrol,Manual,First,5,5.25,4,19,maruti,20.85,1197,83.14
Chennai,Petrol,Manual,First,5,3.25,9,67,hyundai,18.5,1197,80
Pune,Diesel,Manual,First,5,8.5,2,32,maruti,15,1248,88.5
Kolkata,Diesel,Manual,First,5,4.9,2,14,hyundai,24,1186,73.97
Kolkata,Diesel,Manual,First,5,2.9,7,52,maruti,25.2,1248,74
Coimbatore,Diesel,Manual,First,5,7.83,1,25,maruti,27.39,1248,74
Bangalore,Petrol,Manual,Second,5,2,11,72,hyundai,13.2,1495,94
Hyderabad,Diesel,Manual,First,5,6.25,3,54,maruti,25.2,1248,74
Coimbatore,Petrol,Automatic,First,4,3.19,3,24,tata,21.9,624,37.48
Ahmedabad,Diesel,Manual,First,7,7.75,2,63,maruti,25.47,1248,88.5
Delhi,Petrol,Automatic,Second,5,3.2,5,35,maruti,23.1,998,67.04
Delhi,Diesel,Manual,First,5,4.9,4,63,maruti,25.2,1248,74
Chennai,Diesel,Manual,First,5,1.15,11,77,tata,17.2,1396,53.5
Kochi,Petrol,Manual,First,5,8.46,1,20,honda,18.2,1199,88.7
Kolkata,Petrol,Manual,First,5,3.25,6,42,toyota,16.78,1496,88.73
Hyderabad,Petrol,Manual,First,5,2.6,7,67,maruti,19.7,796,46.3
Coimbatore,Petrol,Manual,First,5,5.2,3,37,maruti,20.4,1197,81.8
Pune,Petrol,Manual,Third,5,1.8,10,85,maruti,19,998,66.1
Chennai,Petrol,Manual,First,4,1.6,8,35,tata,25.4,624,37.48
Kolkata,Diesel,Manual,First,5,2.5,4,72,ford,25.5,1498,99
Jaipur,Petrol,Manual,First,5,2.5,8,48,fiat,16,1368,90
Coimbatore,Petrol,Manual,First,5,6.7,2,28,ford,18.16,1196,86.8
Hyderabad,Petrol,Manual,First,5,1.2,14,92,maruti,15.4,1590,94
Hyderabad,Diesel,Manual,First,5,2.2,3,73,tata,25,1396,69
Kolkata,Petrol,Manual,Second,5,1.5,8,50,maruti,18.5,1197,85.8
Coimbatore,Petrol,Automatic,Second,5,5.08,5,41,hyundai,16.95,1197,78.9
Kolkata,Petrol,Manual,First,5,1.46,9,17,chevrolet,18.6,1199,79.4
Pune,Diesel,Manual,Second,5,2.05,12,112,ford,17.8,1399,68
Coimbatore,Diesel,Manual,First,5,4.08,5,74,ford,20,1399,68
Hyderabad,Petrol,Automatic,First,5,4.55,5,44,maruti,23.1,998,67.04
Bangalore,Petrol,Manual,First,5,2.45,9,81,maruti,18.9,998,67.1
Hyderabad,Petrol,Manual,First,8,2.35,6,26,maruti,16.8,796,34.2
Coimbatore,Petrol,Manual,First,5,4.32,4,72,maruti,22.5,998,67.04
Mumbai,Petrol,Manual,First,5,5.85,1,19,hyundai,18.6,1197,81.83
Bangalore,Petrol,Manual,Second,7,6.25,6,68,maruti,16.02,1373,93.7
Mumbai,Diesel,Manual,First,5,9.75,2,26,maruti,23.65,1248,88.5
Hyderabad,Diesel,Manual,First,5,4.1,8,75,volkswagen,22.07,1199,73.9
Chennai,Petrol,Manual,First,5,6.5,3,23,honda,18.7,1199,88.7
Pune,Diesel,Manual,First,5,4.75,6,88,maruti,23.4,1248,74
Kolkata,Petrol,Manual,First,5,6.35,1,11,hyundai,18.6,1197,81.83
Hyderabad,Diesel,Manual,First,5,8.5,1,12,honda,27.4,1498,98.6
Chennai,Diesel,Manual,First,7,5.5,4,65,honda,24.2,1498,98.6
Kochi,Diesel,Manual,First,7,6.56,6,39,maruti,20.77,1248,88.8
Pune,Petrol,Manual,First,5,2.3,5,49,maruti,24.07,998,67.1
Pune,Diesel,Manual,Second,10,3.5,15,77,toyota,13.1,2446,75
Kochi,Petrol,Manual,First,5,4.55,3,21,hyundai,20.36,1197,78.9
Mumbai,Petrol,Manual,Second,5,5.25,4,37,hyundai,18.6,1197,81.83
Pune,Petrol,Manual,First,5,1.79,9,80,chevrolet,14.49,1399,92.7
